cluster,gene,mean,min,Q1,median,Q3,max
1,SPRR1A,-0.0346997115171443,-0.750173780201981,-0.597666504277279,-0.509199150772768,-0.430933544879175,6.86946349109237
1,CIDEC,-0.120903244674366,-0.767305315332696,-0.609578013673302,-0.522038135016168,-0.435002920245967,6.86882228017585
1,PPARG,-0.147784998270264,-0.412199760228996,-0.333880307918718,-0.286222214695395,-0.255826195461606,6.39351884327704
1,PTPRO,-0.080871624148998,-0.825286184452494,-0.696319392107153,-0.609853867234947,-0.482159223730819,6.37497403381006
1,LIPE,-0.1324579542302,-0.894022850306742,-0.681307190596142,-0.593566652144051,0.347934710529361,3.7800059794446
1,FXYD3,-0.156094968744369,-0.501641913419269,-0.401121371438444,-0.342662686712233,-0.302668860282995,5.28627648556723
1,PLIN1,-0.0798337976109947,-0.32275292496505,-0.263338482595953,-0.22865252929983,-0.205448180553139,6.18293599585183
1,THRSP,-0.282535342337167,-0.748731983024689,-0.603974603262774,-0.518450994875238,-0.439930558876423,2.21087033552161
1,SCNN1B,4.66834955843381,-1.20684353745334,3.01008781799245,5.25731903376932,6.47463525334591,6.47463525334591
1,COX8B,-0.0974489429943451,-0.283998587356609,-0.224710306944819,-0.19102472020646,-0.168121363184222,5.07891659924457
1,CDKN1C,-0.0901118481002211,-0.929623310694875,-0.757138960609797,-0.640294526539865,0.540020352823143,5.33233006515672
1,RETN,0.00170384633711523,-0.794833744037131,-0.634731333110199,-0.548792625877716,-0.406381098326081,6.84345884333599
1,PTH1R,1.29669746064157,-2.16171626307266,-0.123062958992975,1.31349263604863,2.37063907597133,6.38164824864155
1,SLC26A4,4.39499051843285,-1.19732548862387,2.33872571998214,6.48739828579469,6.48739828579469,6.48739828579469
1,PRKAR2B,-0.136771234329372,-0.455613872634791,-0.370610185126047,-0.321383868933391,-0.289140150916833,3.62972135614316
1,SLC1A3,-0.0902946488510161,-0.518215307239851,-0.424592265277996,-0.365931949394283,-0.325301655134979,5.55655163201764
1,PSCA,0.0224863852038557,-0.558335030133568,-0.439097796657556,-0.372436436003975,-0.318145371530048,6.92635861933963
