gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,c_seurat_clusters
IFITM1,2.17939524522795e-42,-0.512081951012854,0.804,0.959,3.72611205076623e-38,0
GAS2,2.6958305839058e-42,0.402324348495837,0.964,0.734,4.60906154930375e-38,0
HYKK,2.71725919861367e-42,0.346354231848622,1,0.881,4.64569805186979e-38,0
SARDH,3.8824412421803e-42,0.297149143326165,1,0.921,6.63780979175566e-38,0
TINAG,5.76562477068572e-42,0.385809447709323,0.984,0.787,9.85748867044137e-38,0
TSPAN8,7.93345210363063e-42,-0.429827283306552,0.848,0.95,1.35638230615773e-37,0
SLC2A2,1.196618997537e-41,0.481498341772566,0.872,0.462,2.04585950008901e-37,0
GPT2,1.40051125220259e-41,0.478398835889735,0.868,0.503,2.39445408789076e-37,0
FABP3,1.4125957310235e-41,-0.339684928060755,0.968,0.987,2.41511492133087e-37,0
FHL1,2.2370326996153e-41,0.305910873358612,1,0.902,3.82465480653228e-37,0
CAPG,2.49854258243059e-41,-0.493027969258291,0.64,0.91,4.27175825318157e-37,0
ACAD11,2.70893240237956e-41,0.289996247849997,0.992,0.932,4.63146172834833e-37,0
FABP4,1.12759180567135e-40,-0.384423123960856,0.944,0.987,1.92784371015631e-36,0
MAL,1.51291894828106e-40,-0.330560906765686,0.956,0.991,2.58663752587613e-36,0
SIGIRR,2.09535571175988e-40,0.324703180671861,1,0.888,3.58242966039588e-36,0
DHRS4,2.49952369566991e-40,0.26609730460015,1,0.951,4.27343566248685e-36,0
CDO1,3.96503234906117e-40,-0.346690623448396,0.972,0.992,6.77901580718988e-36,0
SLC13A2,4.41523225397555e-40,0.368587813459348,0.98,0.806,7.548722584622e-36,0
TNFAIP8,5.00947684505607e-40,0.317709165062259,0.984,0.898,8.56470256199236e-36,0
HABP2,5.75636218960087e-40,0.457388057110529,0.964,0.625,9.8416524355606e-36,0
ACOT1,7.64081263027781e-40,0.348976078972503,1,0.893,1.3063497353986e-35,0
GSTM5,1.00559351474316e-39,0.253355221477526,1,0.97,1.71926323215638e-35,0
DCN,1.3507993662029e-39,-0.527380802765443,0.66,0.915,2.3094616763971e-35,0
TPRKB,1.42351812839793e-39,0.337218340248139,0.996,0.867,2.43378894412194e-35,0
XYLB,2.47470332423869e-39,0.34314201254573,1,0.86,4.23100027345089e-35,0
DDAH1,3.20778683035027e-39,0.330277322993293,1,0.878,5.48435314384985e-35,0
ENPP6,9.10603602971436e-39,0.482387697592761,0.896,0.518,1.55685898000026e-34,0
NIT1,1.32935266087212e-38,0.300893598265557,0.996,0.905,2.27279424429307e-34,0
SUSD3,1.52829487908347e-38,0.338433863062467,1,0.886,2.61292575476901e-34,0
AIF1L,2.02787911314503e-38,-0.318611534829857,0.944,0.984,3.46706491974405e-34,0
CD82,2.24594297815019e-38,-0.419838320351756,0.816,0.953,3.83988870974337e-34,0
PPP1R1A,5.75878460572848e-38,-0.291413096780928,1,0.997,9.84579404041397e-34,0
NUAK2,8.89108653749347e-38,0.293334022278993,1,0.923,1.52010906531526e-33,0
F13B,1.02017095952623e-37,0.412965164847758,0.948,0.68,1.744186289502e-33,0
BHMT2,2.24222991738165e-37,0.342877348017482,0.996,0.868,3.83354048974741e-33,0
IFI27L2A,2.94029635389414e-37,-0.334629118157292,0.96,0.991,5.02702467625281e-33,0
HEBP1,3.27251149744422e-37,0.340021323692292,0.988,0.846,5.59501290718037e-33,0
TUBA1B,3.90260067737712e-37,-0.256796050495282,0.968,0.997,6.67227637811166e-33,0
BDH2,4.15823125252587e-37,0.259328646420452,1,0.966,7.10932797244348e-33,0
UGT8A,4.41902796356352e-37,0.347196128319886,0.948,0.782,7.55521210930454e-33,0
HNF4A,6.99465492038241e-37,0.296189168180232,1,0.908,1.19587615173778e-32,0
0610005C13RIK,7.95013553869894e-37,0.258910277699197,1,0.953,1.35923467305136e-32,0
GLRX,8.66865439307453e-37,0.388794678090163,0.928,0.671,1.48207984158395e-32,0
BLVRA,8.80502228546647e-37,0.323431424491509,0.98,0.848,1.5053946601462e-32,0
ANXA5,8.94277562552909e-37,-0.313009328222777,0.912,0.978,1.52894634869671e-32,0
SLC38A2,1.02693624560401e-36,-0.48014365342316,0.576,0.862,1.75575289910917e-32,0
PFKP,2.34794972101577e-36,-0.425476165481869,0.648,0.896,4.01428963802067e-32,0
SERPINF2,2.41014523223579e-36,0.33274819181198,1,0.861,4.12062530355352e-32,0
SLC5A8,2.60234233985978e-36,0.329895531996806,1,0.906,4.44922469845827e-32,0
GM15883,6.32574986137769e-36,0.362900136893037,0.548,0.176,1.08151345379974e-31,0
PAQR9,7.70340786946976e-36,0.389815652162886,0.916,0.671,1.31705164344325e-31,0
SLC6A19,8.95187988221923e-36,0.452731089362642,0.988,0.744,1.53050290346302e-31,0
THNSL2,1.06891439625023e-35,0.317817301666459,0.996,0.887,1.82752294326902e-31,0
SLC16A7,1.10479521997647e-35,-0.41725099686062,0.748,0.924,1.88886838759376e-31,0
SLCO1A1,1.27978023292847e-35,0.362049835520352,0.428,0.112,2.18804026423781e-31,0
CPT2,1.35616082122615e-35,0.257281785849232,0.996,0.944,2.31862815605036e-31,0
CD59A,1.63303082987369e-35,-0.391643954832633,0.76,0.941,2.79199280983504e-31,0
GSTZ1,2.11904366015675e-35,0.252126450910696,1,0.954,3.62292894576999e-31,0
TTPA,2.96511988406162e-35,0.395401863348241,0.628,0.249,5.06946546578015e-31,0
KCNJ1,5.41431063179901e-35,-0.355627144591024,0.92,0.967,9.25684688718676e-31,0
CRIP2,6.69252119951012e-35,-0.370671351890225,0.852,0.958,1.14422034948024e-30,0
IGSF11,7.85193292212353e-35,0.44229710944807,0.804,0.401,1.34244497169546e-30,0
HK1,1.48709984259241e-34,-0.379570853443843,0.84,0.965,2.54249460088025e-30,0
EPB41L4AOS,1.9077514225887e-34,0.273799849424089,0.988,0.918,3.2616826071999e-30,0
CNDP1,2.84802487499508e-34,0.43671106299108,0.828,0.459,4.86926812877909e-30,0
SLC6A20B,3.52633899206935e-34,0.335401408402645,0.996,0.836,6.02898177474096e-30,0
DBNDD2,4.7282420928785e-34,-0.485533633531394,0.44,0.782,8.08387550619437e-30,0
SLC7A7,4.856129033951e-34,0.409890417964595,0.996,0.743,8.30252380934602e-30,0
WFDC15B,6.08723855948813e-34,-0.255381895754362,1,1,1.04073517651568e-29,0
S100A6,6.19511935319048e-34,-0.346355390459599,0.924,0.988,1.05917955581498e-29,0
SH3BGRL3,6.2368314397629e-34,-0.313051019756549,0.928,0.983,1.06631107125626e-29,0
TESC,6.2849763449448e-34,-0.468265823174736,0.512,0.813,1.07454240569521e-29,0
1110008P14RIK,9.29712639514506e-34,-0.300418786705695,0.888,0.976,1.58952969977795e-29,0
LACTB2,1.53051806725805e-33,0.27369869707615,1,0.931,2.61672673959109e-29,0
PPP1R16B,1.71742644797358e-33,0.398316320484966,0.876,0.538,2.93628399810043e-29,0
TLN2,1.86043694141242e-33,0.317572044370443,0.968,0.816,3.18078903873282e-29,0
TCEA3,2.84635266997913e-33,0.365375111256275,0.964,0.743,4.86640915986331e-29,0
UGT3A1,4.64168241894024e-33,0.291920692899053,1,0.938,7.93588443166213e-29,0
GPD1,5.99532249092944e-33,0.272680496599065,1,0.919,1.02502028627421e-28,0
ABCC2,6.6294535761459e-33,0.331932785284849,0.976,0.824,1.13343767791366e-28,0
HLF,9.54230853854855e-33,0.329115382171868,0.94,0.776,1.63144849083565e-28,0
MAN1A,1.03103860703018e-32,0.328411151262367,0.964,0.831,1.7627667064395e-28,0
FGG,1.3608001359729e-32,0.421202907033476,0.82,0.462,2.32655999247287e-28,0
CD302,1.39953309565759e-32,0.267465475346958,0.984,0.911,2.39278173364579e-28,0
NFE2L1,1.61401075863737e-32,-0.296280297121823,0.884,0.958,2.75947419404231e-28,0
FUT9,1.94237830975753e-32,0.317132216954745,1,0.864,3.32088419619245e-28,0
RBPMS2,2.32093957310226e-32,0.285495633345228,0.996,0.886,3.96811038813294e-28,0
ACOT12,2.78733745216663e-32,0.341250502890541,0.992,0.833,4.76551084196929e-28,0
CAR4,2.93799233427366e-32,0.297783138895164,0.992,0.887,5.02308549390767e-28,0
CEBPD,3.17104100346007e-32,-0.437698671459905,0.5,0.815,5.42152880361568e-28,0
SLC25A15,3.2611196950937e-32,0.33479493096925,0.96,0.779,5.57553634270169e-28,0
